Time(s)	X(m)	Y(m)	Z(m)	Vx(m/s)	Vy(m/s)	Vz(m/s)	Mass(kg)
0.000	911899.500	-5527776.000	3052368.750	402.435	69.371	-3.294	458716.594
0.616	913628.438	-5528310.500	3051008.000	402.251	69.479	-3.190	458044.469
1.232	915360.688	-5528842.500	3049642.750	402.065	69.588	-3.081	457371.406
1.848	917091.938	-5529372.000	3048275.250	401.876	69.696	-2.970	456697.656
2.464	918825.125	-5529898.500	3046904.250	401.685	69.804	-2.856	456023.094
3.080	920557.938	-5530422.500	3045530.000	401.492	69.911	-2.741	455347.875
3.696	922291.375	-5530943.000	3044149.750	401.296	70.018	-2.624	454671.906
4.312	924025.312	-5531459.000	3042766.000	401.098	70.125	-2.504	453995.125
4.928	925759.812	-5531974.500	3041379.250	400.898	70.231	-2.386	453317.781
5.544	927493.875	-5532486.500	3039987.750	400.696	70.336	-2.264	452639.750
6.160	929229.250	-5532995.500	3038591.000	400.490	70.443	-2.142	451960.938
6.776	930963.875	-5533501.000	3037190.750	400.281	70.549	-2.019	451281.469
7.392	932698.125	-5534004.500	3035785.500	400.069	70.656	-1.895	450601.500
8.009	934433.625	-5534505.000	3034376.000	399.853	70.762	-1.768	449920.844
8.625	936167.875	-5535002.500	3032962.250	399.634	70.870	-1.641	449239.625
9.241	937902.938	-5535497.000	3031543.000	399.412	70.978	-1.512	448557.625
9.857	939638.250	-5535988.000	3030119.750	399.187	71.086	-1.383	447875.031
10.473	941372.750	-5536476.500	3028691.750	398.958	71.195	-1.253	447191.781
11.089	943107.500	-5536962.000	3027258.500	398.725	71.303	-1.121	446507.938
11.705	944842.750	-5537445.000	3025821.000	398.490	71.413	-0.988	445823.281
12.321	946577.875	-5537925.500	3024378.250	398.251	71.522	-0.854	445138.062
12.937	948313.125	-5538402.000	3022930.250	398.009	71.633	-0.720	444452.219
13.553	950047.812	-5538876.000	3021479.250	397.763	71.743	-0.584	443765.625
14.169	951783.312	-5539348.000	3020022.000	397.515	71.853	-0.446	443078.375
14.785	953518.562	-5539816.500	3018560.000	397.264	71.965	-0.308	442390.469
15.401	955253.938	-5540281.500	3017094.000	397.007	72.076	-0.168	441701.906
16.017	956989.312	-5540745.000	3015622.750	396.748	72.188	-0.027	441012.562
16.633	958725.000	-5541203.500	3014146.000	396.487	72.300	0.114	440322.656
17.249	960460.875	-5541660.000	3012665.000	396.221	72.413	0.257	439632.000
17.865	962197.125	-5542115.500	3011178.750	395.953	72.526	0.400	438940.625
